,bookId,Genre,NumberOfPeople
9684,12074,history,51
9686,12075,philosophy,2080
9687,12075,classics,62
9688,12075,non-fiction,367
9689,12075,essays,8
9690,12075,history,7
9691,12075,science,22
9692,12075,school,36
9693,12076,school,38
9694,12076,classics,31
9695,12076,history,5
9697,12076,philosophy,1777
9698,12076,non-fiction,278
9699,12079,history,41
9700,12079,literature,3
9701,12079,philosophy,437
9702,12079,school,3
9703,12079,non-fiction,143
9705,12079,contemporary,3
9706,12079,biography,360
9707,12083,tragedy,8
9708,12083,family,13
9709,12083,school,202
9710,12083,fiction,319
9711,12083,literature,97
9713,12083,non-fiction,10
9714,12083,classics,589
9715,12083,drama,554
9716,12083,adult,28
9718,12090,adult,85
9719,12090,classics,3622
9720,12090,comedy,138
9721,12090,drama,1651
9722,12090,fiction,1658
9723,12090,literature,605
9724,12090,philosophy,410
9725,12090,school,1039
9726,12090,contemporary,39
9727,12090,novel,54
9728,12095,comedy,12
9730,12095,short-stories,2
9731,12095,school,20
9732,12095,classics,45
9733,12095,fiction,37
9734,12095,drama,106
9735,12095,literature,11
9736,12095,contemporary,4
9737,12113,literature,16
9738,12113,classics,24
9739,12113,drama,75
9740,12113,fiction,5
9741,12113,school,9
9743,12114,short-stories,37
9744,12114,literature,2
9745,12114,comedy,1
9746,12114,classics,18
9748,12114,fiction,15
9749,12125,young-adult,1051
9750,12125,drama,11
9751,12125,classics,60
9753,12125,school,45
9754,12125,children,472
9755,12125,history,11
9756,12125,fiction,419
9757,12125,family,49
9758,12125,contemporary,61
9759,12125,adventure,46
9760,12125,novel,26
9761,12142,short-stories,9
9762,12142,science,1
9763,12142,school,4
9764,12142,poetry,4
9765,12142,comedy,1
9766,12142,drama,91
9767,12142,fiction,20
9769,12142,tragedy,2
9770,12142,literature,5
9771,12142,classics,2
9772,12148,fantasy,5156
9773,12148,children,2689
9774,12148,literature,562
9775,12148,adult,207
9776,12148,adventure,703
9777,12148,fiction,5669
9778,12148,classics,7849
9779,12148,nature,83
9780,12148,novel,539
9782,12148,science-fiction,364
9783,12148,young-adult,2051
9784,12148,school,136
9786,12187,science-fiction,11
9787,12187,adult,10
9788,12187,fantasy,11
9789,12187,fiction,577
9790,12187,history,8
9791,12187,literature,131
9792,12187,novel,99
9793,12187,romance,45
9794,12187,classics,314
9795,12188,non-fiction,69
9796,12188,short-stories,3
9797,12188,biography,14
9798,12188,fiction,6
9799,12188,classics,7
9800,12188,essays,34
9801,12188,novel,2
9802,12188,literature,11
9805,12201,philosophy,4
9806,12201,art,5
9807,12201,young-adult,3
9808,12201,short-stories,3
9809,12201,poetry,690
9810,12201,non-fiction,15
9811,12201,school,19
9812,12201,literature,11
9813,12201,classics,144
9814,12201,children,222
9815,12201,nature,12
9816,12201,fiction,21
9817,12204,adult,10
9818,12204,nature,8
9819,12204,biography,27
9820,12204,children,23
9821,12204,classics,427
9822,12204,family,4
9823,12204,literature,47
9824,12204,fiction,52
9825,12204,philosophy,22
9826,12204,poetry,1399
9827,12204,school,36
9828,12204,short-stories,9
9830,12204,novel,4
9831,12204,non-fiction,37
9832,12210,non-fiction,7
9833,12210,short-stories,8
9834,12210,school,5
9835,12210,poetry,280
9836,12210,literature,11
9837,12210,essays,6
9838,12210,drama,14
9839,12210,classics,45
9841,12210,fiction,10
9842,12216,school,11
9843,12216,fiction,22
9844,12216,history,4
9846,12216,short-stories,2
9847,12216,classics,22
9848,12216,literature,10
9849,12216,drama,60
9850,12230,literature,226
9851,12230,adult,78
9852,12230,classics,3678
9853,12230,comedy,208
9854,12230,drama,711
9855,12230,history,141
9856,12230,novel,31
9857,12230,romance,129
9858,12230,school,582
9860,12230,fiction,903
9861,12274,fiction,85
9862,12274,literature,36
9863,12274,drama,190
9864,12274,contemporary,4
9865,12274,classics,242
9866,12274,biography,11
9867,12274,adult,8
9868,12274,history,138
9870,12274,tragedy,5
9871,12274,school,34
9872,12274,poetry,5
9873,12274,religion,17
9874,12274,novel,5
9875,12274,non-fiction,5
9876,12296,other,0
9877,12297,novel,814
9878,12297,young-adult,192
9879,12297,school,4422
9880,12297,religion,199
9881,12297,literature,1731
9882,12297,romance,442
9883,12297,classics,25550
9884,12297,adult,724
9885,12297,drama,175
9887,12297,fiction,7393
9888,12297,history,3841
9889,12315,culture,6
9890,12315,literature,21
9891,12315,essays,25
9892,12315,history,46
9893,12315,non-fiction,395
9894,12315,art,59
9895,12315,religion,9
9896,12315,classics,154
9897,12315,philosophy,1563
9898,12315,politics,7
9899,12315,drama,11
9900,12315,tragedy,13
9901,12315,school,41
9904,12319,non-fiction,120
9905,12319,religion,6
9906,12319,politics,4
9907,12319,philosophy,533
9908,12319,short-stories,8
9909,12319,literature,3
9910,12319,history,28
9911,12319,fiction,4
9912,12319,contemporary,22
9913,12319,classics,42
9914,12319,poetry,3
9915,12319,school,11
9917,12335,poetry,164
9918,12335,biography,643
9919,12335,non-fiction,451
9920,12335,essays,13
9921,12335,fiction,6
9922,12335,history,46
9923,12335,lgbt,10
9924,12335,adult,7
9925,12335,literature,6
9926,12349,adult,44
9928,12349,culture,7
9929,12349,school,54
9930,12349,biography,7
9931,12349,fiction,644
9932,12349,contemporary,122
9933,12349,novel,67
9934,12349,comedy,7
9935,12349,literature,67
9936,12349,non-fiction,52
9937,12349,politics,8
9938,12358,short-stories,56
9940,12358,adult,25
9941,12358,politics,144
9942,12358,fiction,20
9943,12358,culture,27
9944,12358,comedy,457
9945,12358,contemporary,9
9946,12358,biography,264
9947,12358,essays,393
9948,12358,history,530
9949,12358,non-fiction,1270
9950,12381,non-fiction,39
9952,12381,contemporary,1
9953,12381,school,2
9954,12381,biography,12
9955,12381,essays,1
9956,12381,fiction,8
9957,12381,literature,4
9958,12381,philosophy,3
9959,12381,poetry,162
9960,12381,short-stories,4
9961,12419,poetry,3
9962,12419,religion,13
9963,12419,non-fiction,92
9964,12419,philosophy,122
9965,12419,self-help,35
9966,12419,literature,10
9967,12419,school,4
9968,12419,culture,3
9969,12419,classics,29
9971,12419,fiction,4
9972,12441,science-fiction,2
9973,12441,fantasy,21
9974,12441,politics,1
9975,12441,history,90
9976,12441,fiction,50
9977,12441,classics,3
9979,12441,biography,3
9980,12441,adult,3
9981,12441,young-adult,3
9982,12441,literature,2
9983,12441,children,1
9984,12447,history,16
9985,12447,non-fiction,2
9986,12447,literature,51
9987,12447,fiction,250
9988,12447,adult,5
9989,12447,drama,3
9990,12447,classics,190
9992,12447,novel,39
9993,12447,family,3
9994,12447,romance,3
9995,12467,novel,106
9996,12467,non-fiction,37
9998,12467,classics,351
9999,12467,history,608
10000,12467,fiction,748
10001,12467,literature,140
10002,12468,classics,137
10003,12468,biography,169
10004,12468,literature,87
10005,12468,history,131
10006,12468,contemporary,19
10007,12468,adult,11
10008,12468,fiction,334
10010,12468,mystery,239
10011,12468,novel,49
10012,12468,non-fiction,877
10013,12474,novel,6
10014,12474,non-fiction,158
10015,12474,politics,45
10016,12474,history,139
10017,12474,essays,8
10018,12474,school,6
10019,12474,biography,40
10020,12474,fiction,41
10022,12474,classics,19
10023,12474,literature,24
10024,12478,classics,1
10026,12478,novel,2
10027,12478,adult,5
10028,12478,fiction,19
10029,12478,mystery,81
10030,12478,contemporary,2
10031,12502,non-fiction,239
10032,12502,literature,2
10033,12502,history,3
10034,12502,fiction,6
10035,12502,essays,5
10036,12502,comedy,83
10037,12502,biography,117
10038,12502,adult,2
10040,12502,culture,371
10041,12505,other,0
10042,12513,school,1
10043,12513,comedy,2
10044,12513,self-help,4
10045,12513,non-fiction,62
10046,12513,philosophy,2
10047,12513,drama,12
10049,12513,art,4
10050,12513,essays,10
10051,12522,school,1
10052,12522,biography,6
10053,12522,classics,7
10054,12522,fiction,18
10056,12522,literature,5
10057,12522,non-fiction,2
10058,12522,novel,1
10059,12522,poetry,20
10061,12526,non-fiction,25
10062,12526,fiction,24
10063,12526,essays,16
10064,12526,classics,5
10065,12526,young-adult,2
10066,12526,children,2
10067,12526,biography,26
10068,12526,literature,3
10069,12526,school,4
10070,12526,nature,9
10071,12526,science,3
10072,12528,biography,666
10073,12528,adult,13
10074,12528,fiction,37
10076,12528,young-adult,7
10077,12528,children,8
10078,12528,classics,21
10079,12528,contemporary,10
10080,12528,family,5
10081,12528,history,10
10082,12528,literature,13
10083,12528,nature,9
10084,12528,non-fiction,366
10085,12528,school,40
10086,12528,essays,32
10087,12532,literature,21
10088,12532,contemporary,2
10089,12532,nature,27
10090,12532,biography,30
10091,12532,classics,4
10092,12532,essays,105
10093,12532,novel,2
10094,12532,culture,9
10095,12532,non-fiction,235
10096,12532,self-help,6
10097,12532,philosophy,69
10098,12532,poetry,5
10099,12532,religion,31
10100,12532,school,2
10101,12532,history,12
10103,12532,fiction,22
10104,12532,science,11
10105,12537,horror,1
10106,12537,adult,2
10107,12537,contemporary,12
10108,12537,fiction,69
10109,12537,literature,2
10110,12537,novel,10
10112,12546,essays,1
10113,12546,novel,1
10114,12546,fiction,2
10115,12546,comedy,23
10116,12546,non-fiction,58
10118,12546,classics,1
10119,12546,literature,2
10120,12546,biography,40
10121,12555,fiction,1686
10123,12555,drama,54
10124,12555,family,60
10125,12555,fantasy,17
10126,12555,history,1183
10127,12555,culture,67
10128,12555,novel,149
10129,12555,literature,155
10130,12555,school,16
10131,12555,young-adult,15
10132,12555,contemporary,232
10133,12555,classics,26
10134,12555,adult,179
10135,12555,romance,18
10136,12558,culture,1
10137,12558,fantasy,4
10138,12558,children,106
10139,12558,family,3
10141,12558,young-adult,5
10142,12558,history,4
10143,12558,novel,2
10144,12558,fiction,10
10145,12568,classics,15
10147,12568,short-stories,38
10148,12568,fantasy,3
10149,12568,fiction,193
10150,12568,adult,8
10151,12568,comedy,17
10152,12568,literature,33
10153,12568,romance,2
10154,12568,history,3
10155,12568,non-fiction,11
10156,12568,novel,21
10157,12568,poetry,152
10158,12568,contemporary,13
10159,12570,classics,5
10161,12570,short-stories,6
10162,12570,poetry,8
10163,12570,novel,4
10164,12570,horror,1
10165,12570,fiction,52
10166,12570,fantasy,4
10167,12570,comedy,4
10168,12570,literature,14
10169,12571,novel,15
10171,12571,poetry,6
10172,12571,biography,2
10173,12571,literature,15
10174,12571,fiction,55
10175,12571,adult,5
10176,12577,adult,7
10177,12577,short-stories,617
10179,12577,novel,7
10180,12577,classics,198
10181,12577,history,8
10182,12577,fiction,320
10183,12577,contemporary,7
10184,12577,literature,77
10185,12578,religion,1
10186,12578,short-stories,3
10187,12578,school,1
10188,12578,fiction,22
10190,12578,classics,5
10191,12578,comedy,1
10192,12578,literature,6
10193,12578,novel,2
10194,12581,classics,3
10196,12581,art,2
10197,12581,essays,135
10198,12581,literature,7
10199,12581,non-fiction,62
10200,12581,school,5
10201,12581,fiction,1
10203,12583,literature,12
10204,12583,fiction,48
10205,12583,history,2
10206,12583,novel,8
10207,12583,family,4
10208,12583,adult,1
10209,12583,comedy,3
10210,12583,classics,14
10211,12583,short-stories,3
10212,12589,history,6
10213,12589,fiction,55
10214,12589,adult,5
10215,12589,classics,22
10216,12589,contemporary,2
10217,12589,novel,6
10219,12589,romance,2
10220,12589,school,7
10221,12589,short-stories,67
10222,12589,literature,9
10224,12590,school,18
10225,12590,literature,17
10226,12590,history,4
10227,12590,fiction,10
10228,12590,non-fiction,201
10229,12590,essays,152
10230,12590,classics,19
10231,12590,biography,336
10232,12590,adult,3
10233,12590,family,4
10234,12609,fiction,41
10235,12609,biography,390
10236,12609,adult,54
10237,12609,science,524
10238,12609,religion,59
10239,12609,non-fiction,3266
10240,12609,sociology,114
10242,12609,history,163
10243,12609,family,23
10244,12609,school,254
10245,12609,culture,133
10246,12615,essays,18
10247,12615,politics,424
10248,12615,culture,4
10249,12615,history,89
10250,12615,non-fiction,406
10251,12615,sociology,34
10252,12615,school,23
10253,12615,science,6
10254,12615,philosophy,94
10256,12627,essays,7
10257,12627,politics,163
10258,12627,culture,2
10259,12627,sociology,8
10260,12627,history,26
10261,12627,philosophy,14
10262,12627,school,4
10263,12627,science,1
10265,12627,non-fiction,96
10266,12649,literature,34
10267,12649,philosophy,426
10268,12649,school,21
10269,12649,non-fiction,225
10270,12649,history,54
10272,12649,essays,7
10273,12649,classics,278
10274,12649,politics,10
10275,12649,biography,425
10276,12649,fiction,18
10277,12652,horror,4
10278,12652,science-fiction,2
10279,12652,mystery,82
10280,12652,fiction,9
10281,12652,fantasy,12
10282,12652,adventure,3
10283,12652,adult,5
10284,12652,romance,1
10286,12652,comedy,4
10287,12657,novel,67
10288,12657,non-fiction,18
10289,12657,history,1245
10290,12657,fiction,650
10291,12657,culture,21
10292,12657,contemporary,24
10293,12657,adventure,10
10294,12657,adult,21
10295,12657,literature,34
10296,12657,religion,65
10298,12657,classics,34
10300,12658,adult,42
10301,12658,adventure,18
10302,12658,contemporary,10
10303,12658,classics,144
10304,12658,fiction,806
10305,12658,non-fiction,42
10306,12658,novel,71
10307,12658,drama,17
10308,12658,religion,10
10309,12658,literature,28
10310,12658,history,1581
10311,12658,culture,69
10312,12661,classics,24
10313,12661,novel,35
10314,12661,non-fiction,5
10315,12661,literature,18
10316,12661,history,551
10317,12661,fiction,412
10318,12661,drama,5
10319,12661,contemporary,18
10320,12661,adventure,20
10321,12661,adult,18
10323,12661,culture,12
10324,12664,other,0
10325,12676,mystery,1705
10326,12676,tragedy,91
10328,12676,science-fiction,298
10329,12676,drama,84
10330,12676,school,85
10331,12676,adult,622
10332,12676,contemporary,105
10333,12676,young-adult,240
10334,12676,fantasy,780
10335,12676,horror,12401
10336,12676,fiction,3503
10337,12676,novel,421
10338,12676,classics,761
10339,12682,horror,17728
10340,12682,tragedy,175
10341,12682,novel,732
10342,12682,mystery,4731
10343,12682,fiction,6079
10345,12682,drama,285
10346,12682,contemporary,162
10347,12682,classics,1564
10348,12682,adult,925
10349,12682,fantasy,835
10350,12723,mystery,1
10351,12723,culture,1
10352,12723,fiction,3
10353,12723,novel,1
10355,12723,history,4
10356,12725,young-adult,199
10357,12725,novel,7
10359,12725,literature,6
10360,12725,school,38
10361,12725,fiction,99
10362,12725,classics,27
10363,12725,children,291
10364,12725,adventure,14
10365,12725,history,346
10366,12733,literature,430
10367,12733,classics,1707
10368,12733,novel,238
10370,12733,school,83
10371,12733,history,44
10372,12733,fiction,1497
10373,12733,adult,53
10374,12746,classics,28
10375,12746,comedy,5
10376,12746,history,5
10377,12746,fiction,42
10378,12746,novel,6
10380,12746,literature,10
10381,12770,romance,6
10382,12770,horror,35
10383,12770,classics,113
10384,12770,fiction,205
10385,12770,literature,7
10386,12770,drama,6
10387,12770,novel,21
10388,12770,adult,12
10389,12770,mystery,729
10391,12771,children,2
10393,12771,young-adult,18
10394,12771,romance,2
10395,12771,fiction,4
10397,12803,literature,1083
10398,12803,school,61
10399,12803,novel,628
10400,12803,adult,62
10401,12803,drama,67
10402,12803,classics,6122
10403,12803,fiction,3725
10404,12807,fiction,119
10405,12807,young-adult,2
10406,12807,contemporary,10
10407,12807,history,33
10408,12807,culture,4
10409,12807,novel,11
10410,12807,politics,11
10412,12807,literature,24
10413,12817,adult,1
10414,12817,contemporary,2
10415,12817,philosophy,1
10416,12817,history,2
10417,12817,literature,10
10418,12817,religion,1
10419,12817,novel,12
10420,12817,mystery,1
10421,12817,classics,9
10423,12817,romance,4
10424,12817,fiction,44
10425,12823,religion,6
10426,12823,fiction,79
10427,12823,school,3
10428,12823,short-stories,3
10429,12823,science,4
10430,12823,self-help,3
10431,12823,adult,6
10432,12823,biography,119
10434,12823,classics,41
10435,12823,history,142
10436,12823,novel,14
10437,12823,non-fiction,115
10438,12823,literature,16
10439,12829,novel,29
10440,12829,adult,3
10441,12829,contemporary,16
10442,12829,classics,3
10443,12829,literature,24
10445,12829,mystery,6
10446,12829,fiction,158
10447,12841,fantasy,6
10448,12841,fiction,16
10449,12841,mystery,2
10450,12841,biography,6
10451,12841,philosophy,19
10452,12841,science,6
10453,12841,self-help,20
10455,12841,novel,3
10456,12841,religion,5
10457,12841,non-fiction,23
10458,12842,fantasy,29
10459,12842,classics,4
10460,12842,philosophy,111
10461,12842,novel,20
10462,12842,mystery,3
10463,12842,literature,10
10464,12842,horror,4
10465,12842,biography,20
10466,12842,non-fiction,74
10467,12842,history,6
10468,12842,self-help,57
10469,12842,science,31
10470,12842,school,3
10471,12842,religion,17
10472,12842,fiction,94
10473,12842,culture,3
10475,12843,fantasy,3
10476,12843,philosophy,18
10477,12843,history,2
10478,12843,non-fiction,18
10479,12843,religion,6
10481,12843,science,5
10482,12843,self-help,19
10483,12843,biography,2
10484,12843,fiction,4
10485,12843,school,2
10486,12844,fantasy,9
10487,12844,fiction,18
10488,12844,horror,2
10490,12844,biography,6
10491,12844,history,4
10492,12844,science,9
10493,12844,novel,3
10494,12844,philosophy,31
10495,12844,religion,8
10496,12844,self-help,30
10497,12844,non-fiction,25
10498,12845,horror,5
10499,12845,self-help,43
10500,12845,science,17
10501,12845,religion,14
10502,12845,philosophy,52
10503,12845,novel,10
10504,12845,non-fiction,50
10505,12845,mystery,2
10506,12845,history,6
10507,12845,fantasy,26
10508,12845,biography,12
10510,12845,fiction,54
10511,12845,literature,2
10512,12852,philosophy,7
10514,12852,short-stories,143
10515,12852,novel,4
10516,12852,school,4
10517,12852,fiction,114
10518,12852,literature,38
10519,12852,classics,131
10520,12853,classics,1794
10521,12853,fiction,1225
10522,12853,history,70
10523,12853,literature,411
10524,12853,novel,278
10525,12853,philosophy,196
10526,12853,politics,79
10528,12854,other,0
10529,12856,history,169
10530,12856,romance,60
10531,12856,philosophy,297
10532,12856,novel,675
10533,12856,adult,42
10534,12856,fiction,3087
10535,12856,drama,44
10536,12856,classics,5794
10537,12856,literature,906
10540,12859,school,4
10541,12859,philosophy,1
10542,12859,history,3
10543,12859,non-fiction,4
10544,12882,contemporary,21
10545,12882,fiction,178
10546,12882,history,3
10547,12882,literature,35
10548,12882,mystery,3
10549,12882,novel,43
10550,12882,religion,3
10551,12882,comedy,4
10554,12885,classics,23
10555,12885,comedy,3
10556,12885,contemporary,10
10557,12885,school,23
10558,12885,history,3
10559,12885,literature,77
10560,12885,novel,10
10561,12885,short-stories,292
10562,12885,fiction,219
10563,12914,other,0
10564,12916,other,0
10565,12923,novel,110
10566,12923,horror,649
10567,12923,fantasy,189
10568,12923,classics,1821
10569,12923,adult,55
10571,12923,fiction,545
10572,12923,history,126
10573,12923,mystery,71
10574,12923,romance,47
10575,12923,school,219
10576,12923,literature,105
10577,12932,fiction,47
10578,12932,children,167
10580,12932,comedy,8
10581,12932,school,2
10582,12932,novel,3
10583,12932,young-adult,46
10584,12932,contemporary,5
10586,12933,children,20
10587,12933,contemporary,1
10588,12933,fiction,8
10589,12933,school,3
10590,12933,young-adult,8
10591,12933,comedy,2
10592,12937,children,36
10593,12937,fiction,8
10594,12937,comedy,1
10596,12937,young-adult,4
10597,12939,other,0
10599,12941,fiction,1543
10600,12941,classics,7567
10601,12941,adult,142
10602,12941,drama,1688
10603,12941,family,39
10604,12941,literature,609
10605,12941,novel,60
10606,12941,poetry,356
10607,12941,school,1674
10608,12941,tragedy,285
10609,12941,history,252
10610,12947,horror,3596
10611,12947,adult,205
10612,12947,classics,6345
10613,12947,fantasy,114
10614,12947,fiction,2228
10615,12947,history,190
10616,12947,mystery,1018
10618,12947,novel,264
10619,12947,school,345
10620,12947,short-stories,138
10621,12947,literature,451
10622,12950,novel,25
10623,12950,school,30
10624,12950,history,4
10625,12950,mystery,49
10626,12950,short-stories,35
10627,12950,literature,48
10628,12950,adult,5
10629,12950,horror,136
10631,12950,fiction,162
10632,12950,classics,373
10633,12950,fantasy,4
10634,12951,school,9
10635,12951,novel,3
10636,12951,literature,20
10637,12951,short-stories,83
10639,12951,mystery,9
10640,12951,horror,32
10641,12951,history,2
10642,12951,fiction,81
10643,12951,fantasy,3
10644,12951,classics,151
10645,12951,adult,5
10647,12960,school,1263
10648,12960,poetry,283
10649,12960,history,173
10650,12960,literature,451
10651,12960,drama,1232
10652,12960,comedy,774
10653,12960,classics,8246
10654,12960,adult,194
10655,12960,fiction,1373
10656,12960,romance,632
10658,12969,literature,26
10659,12969,history,8
10660,12969,fiction,110
10661,12969,fantasy,13
10662,12969,contemporary,3
10663,12969,classics,45
10664,12969,novel,4
10665,12969,short-stories,188
10666,12975,drama,1198
10668,12975,school,1383
10669,12975,comedy,517
10670,12975,romance,405
10671,12975,history,153
10672,12975,literature,362
10673,12975,fiction,1075
10674,12975,adult,145
10675,12975,classics,6714
10676,12975,poetry,308
10677,12975,fantasy,34
10679,12990,culture,4
10680,12990,biography,16
10681,12990,essays,27
10682,12990,fiction,2
10683,12990,poetry,6
10684,12990,non-fiction,70
10685,12990,science,1
10686,12990,nature,47
10687,12990,history,2
10688,12994,biography,56
10689,12994,art,1
10690,12994,drama,2
10692,12994,non-fiction,25
10694,12995,contemporary,3
10695,12995,fiction,172
10696,12995,classics,164
10697,12995,history,9
10698,12995,literature,56
10699,12995,novel,36
10700,12995,adult,3
10701,12996,adult,156
10702,12996,poetry,463
10703,12996,drama,1960
10704,12996,history,288
10705,12996,novel,69
10706,12996,literature,717
10707,12996,school,2974
10708,12996,tragedy,349
10709,12996,fiction,2066
10711,12996,romance,207
10712,12996,classics,11303
10713,13012,politics,54
10714,13012,tragedy,195
10715,13012,school,2226
10716,13012,classics,7584
10717,13012,literature,446
10718,13012,history,1274
10719,13012,fiction,1488
10721,13012,drama,1342
10722,13012,adult,158
10723,13012,novel,47
10724,13012,poetry,294
10725,13028,classics,7985
10726,13028,adventure,437
10727,13028,children,4446
10729,13028,fantasy,3833
10730,13028,fiction,2232
10731,13028,young-adult,594
10732,13028,novel,317
10733,13028,literature,251
10734,13028,comedy,118
10735,13033,contemporary,15
10737,13033,adult,4
10738,13033,classics,147
10739,13033,romance,6
10740,13033,fiction,321
10741,13033,novel,51
10742,13033,history,108
10743,13033,literature,79
10744,13033,culture,9
10745,13037,classics,154
10746,13037,adult,8
10747,13037,contemporary,5
10748,13037,culture,6
10749,13037,fiction,359
10750,13037,history,116
10751,13037,literature,96
10752,13037,novel,64
10753,13037,romance,13
10755,13039,fiction,121
10757,13039,contemporary,2
10758,13039,history,32
10759,13039,literature,33
10760,13039,novel,23
10761,13039,classics,40
10762,13040,philosophy,3737
10763,13040,adult,266
10764,13040,school,1084
10765,13040,novel,1010
10766,13040,religion,1408
10767,13040,literature,1455
10768,13040,history,970
10769,13040,fiction,7023
10770,13040,classics,8472
10771,13040,biography,116
10772,13040,self-help,850
10774,13040,non-fiction,239
10775,13042,classics,2
10776,13042,novel,7
10777,13042,literature,8
10778,13042,fiction,53
10779,13042,adult,3
10781,13042,contemporary,4
10782,13042,history,2
10783,13061,adult,26
10784,13061,adventure,11
10785,13061,comedy,319
10786,13061,contemporary,30
10787,13061,novel,13
10788,13061,fiction,318
10789,13061,short-stories,4
10791,13061,mystery,354
10792,13069,fiction,73
10793,13069,mystery,80
10794,13069,non-fiction,2
10795,13069,novel,7
10796,13069,politics,1
10797,13069,short-stories,14
10798,13069,comedy,74
10800,13069,adult,4
10801,13069,adventure,3
10803,13075,adventure,5
10804,13075,adult,24
10805,13075,fiction,307
10806,13075,mystery,450
10807,13075,novel,13
10808,13075,contemporary,28
10809,13075,comedy,314
10810,13086,philosophy,2
10812,13086,politics,13
10813,13086,history,19
10814,13086,school,7
10815,13086,sociology,26
10816,13086,science,3
10817,13086,non-fiction,180
10818,13104,religion,2
10819,13104,self-help,16
10820,13104,philosophy,5
10821,13104,science-fiction,1
10822,13104,fiction,12
10823,13104,non-fiction,7
10825,13104,school,1
10826,13104,classics,1
10827,13104,fantasy,1
10828,13105,adult,6
10829,13105,contemporary,3
10830,13105,horror,4
10831,13105,literature,3
10832,13105,mystery,3
10833,13105,non-fiction,29
10834,13105,fantasy,11
10835,13105,philosophy,46
10836,13105,religion,10
10837,13105,romance,3
10838,13105,adventure,12
10839,13105,self-help,151
10841,13105,fiction,164
10842,13105,novel,19
10844,13119,non-fiction,85
10845,13119,biography,160
10846,13119,history,8
10847,13119,art,3
10849,13122,biography,207
10850,13122,non-fiction,100
10851,13122,history,14
10852,13138,mystery,292
10853,13138,horror,5
10854,13138,fiction,66
10855,13138,adventure,4
10856,13138,adult,6
10858,13141,adventure,12
10860,13141,romance,3
10861,13141,mystery,404
10862,13141,fiction,99
10863,13141,adult,9
10864,13141,drama,4
10865,13143,novel,18
10866,13143,adult,60
10868,13143,adventure,22
10869,13143,fiction,433
10870,13143,mystery,2022
10871,13145,adult,208
10872,13145,adventure,30
10873,13145,contemporary,51
10874,13145,drama,53
10875,13145,fiction,1285
10876,13145,horror,35
10877,13145,novel,67
10878,13145,mystery,6275
10880,13146,mystery,386
10882,13146,adventure,10
10883,13146,adult,4
10884,13146,fiction,90
10885,13148,adventure,30
10887,13148,adult,178
10888,13148,tragedy,33
10889,13148,fiction,1052
10890,13148,novel,94
10891,13148,mystery,4864
10892,13148,horror,45
10893,13148,drama,119
10894,13148,contemporary,52
10895,13149,mystery,180
10896,13149,fiction,52
10897,13149,adventure,5
10898,13149,adult,8
10901,13158,adult,20
10902,13158,adventure,4
10903,13158,mystery,293
10904,13158,fiction,80
10906,13161,adult,10
10907,13161,fiction,68
10908,13161,novel,4
10909,13161,mystery,12
10910,13161,contemporary,12
10911,13161,drama,6
10912,13162,fantasy,185
10914,13162,adult,81
10915,13162,adventure,59
10916,13162,short-stories,13
10917,13162,fiction,361
10918,13162,horror,45
10919,13162,mystery,1090
10920,13162,science-fiction,286
10921,13162,romance,16
10922,13162,young-adult,23
10923,13162,novel,33
10924,13177,biography,200
10925,13177,comedy,91
10926,13177,non-fiction,103
10929,13210,adult,8
10930,13210,biography,251
10931,13210,classics,16
10932,13210,culture,7
10933,13210,fiction,12
10934,13210,history,5
10935,13210,literature,5
10936,13210,non-fiction,218
10937,13210,philosophy,9
10938,13210,poetry,60
10939,13210,essays,35
10940,13210,self-help,12
10942,13254,comedy,9
10943,13254,contemporary,4
10944,13254,fiction,17
10945,13254,mystery,5
10946,13254,romance,22
10947,13258,tragedy,10
10949,13258,lgbt,10
10950,13258,classics,8
10951,13258,contemporary,265
10952,13258,fiction,685
10953,13258,school,9
10954,13258,romance,31
10955,13258,novel,76
10956,13258,mystery,34
10957,13258,drama,25
10958,13258,literature,137
10959,13258,adult,81
10960,13270,school,223
10961,13270,poetry,241
10962,13270,philosophy,1474
10963,13270,non-fiction,774
10964,13270,literature,84
10965,13270,history,29
10966,13270,fiction,14
10967,13270,drama,45
10968,13270,classics,772
10969,13270,art,79
10970,13270,tragedy,13
10972,13270,essays,197
10973,13345,fantasy,12179
10974,13345,children,475
10975,13345,fiction,1459
10976,13345,romance,177
10977,13345,novel,87
10978,13345,adventure,476
10979,13345,horror,289
10980,13345,science-fiction,1078
10981,13345,young-adult,6052
10983,13360,adult,6
10984,13360,non-fiction,223
10985,13360,philosophy,5
10986,13360,religion,477
10987,13360,school,7
10988,13360,self-help,287
10990,13368,novel,5
10991,13368,biography,2
10992,13368,classics,34
10993,13368,literature,22
10994,13368,essays,3
10995,13368,fiction,19
10996,13368,school,6
10998,13368,non-fiction,35
10999,13388,fiction,35
11001,13388,short-stories,34
11002,13388,adult,2
11003,13388,novel,2
11004,13388,essays,2
11005,13388,culture,1
11006,13388,contemporary,2
11007,13388,comedy,52
11008,13388,romance,1
11009,13442,other,0
11010,13444,adult,33
11011,13444,fiction,1021
11012,13444,fantasy,1885
11013,13444,young-adult,22
11015,13444,adventure,109
11016,13444,science-fiction,263
11017,13444,mystery,376
11018,13444,novel,77
11019,13444,tragedy,34
11020,13444,horror,2543
11021,13451,contemporary,5
11022,13451,science-fiction,5
11023,13451,drama,13
11024,13451,fantasy,26
11025,13451,fiction,150
