,bookId,Genre,NumberOfPeople
292,153,other,0
293,155,other,0
295,162,drama,5
296,162,fiction,163
297,162,culture,9
298,162,adult,5
299,162,school,36
300,162,philosophy,4
301,162,novel,19
302,162,non-fiction,9
303,162,literature,28
304,162,history,80
305,162,classics,87
306,163,fiction,186
307,163,history,92
308,163,politics,3
309,163,art,4
311,163,contemporary,26
312,163,classics,6
313,163,lgbt,9
314,163,literature,41
315,163,mystery,23
316,163,short-stories,4
317,163,novel,37
319,180,science,85
320,180,non-fiction,37
321,180,history,6
322,180,biography,3
323,204,fiction,7
324,204,history,64
325,204,romance,4
327,245,school,3
328,245,literature,7
329,245,philosophy,4
330,245,fiction,3
331,245,biography,9
332,245,classics,2
333,245,non-fiction,65
335,245,essays,108
337,247,short-stories,4
338,247,novel,25
339,247,biography,11
340,247,classics,20
341,247,drama,2
342,247,fiction,78
343,247,non-fiction,6
344,247,literature,27
345,249,literature,353
346,249,drama,28
347,249,classics,1382
348,249,contemporary,28
349,249,fiction,1669
350,249,biography,67
351,249,mystery,27
352,249,novel,269
353,249,romance,31
355,249,non-fiction,26
356,249,adult,60
357,250,literature,114
358,250,classics,228
359,250,romance,10
360,250,non-fiction,14
361,250,mystery,90
362,250,novel,91
363,250,fiction,475
364,250,drama,22
366,250,contemporary,19
367,250,biography,23
368,250,adult,33
369,250,tragedy,12
370,251,literature,34
372,251,school,2
373,251,philosophy,3
374,251,novel,31
375,251,non-fiction,3
376,251,contemporary,3
377,251,fiction,91
378,251,classics,24
379,251,biography,12
380,251,art,2
381,251,romance,2
382,252,philosophy,7
383,252,contemporary,13
384,252,classics,88
385,252,biography,15
386,252,literature,59
387,252,adult,4
388,252,fiction,186
389,252,non-fiction,8
391,252,novel,61
392,252,romance,9
393,253,short-stories,2
394,253,literature,27
395,253,philosophy,3
396,253,fiction,51
397,253,essays,19
398,253,culture,39
399,253,politics,2
400,253,classics,16
401,253,biography,37
402,253,history,5
404,253,non-fiction,59
405,253,novel,11
406,264,other,0
407,269,romance,130
408,269,adult,75
409,269,classics,4435
410,269,fiction,1501
411,269,history,207
413,269,literature,397
414,269,novel,265
415,269,school,49
417,277,classics,2
418,277,short-stories,8
419,277,school,5
420,277,non-fiction,68
421,277,literature,12
422,277,art,2
423,277,fiction,9
424,277,essays,64
425,277,biography,11
426,280,other,0
427,289,self-help,1
428,289,literature,4
430,289,short-stories,1
431,289,school,1
432,289,religion,1
433,289,poetry,25
434,289,philosophy,4
435,289,non-fiction,4
436,289,classics,7
437,289,romance,2
438,289,fiction,3
439,290,history,3
440,290,non-fiction,8
441,290,biography,2
442,290,classics,12
443,290,fiction,23
445,290,self-help,9
446,290,poetry,32
447,290,philosophy,23
448,290,novel,5
449,290,literature,13
450,290,religion,44
452,299,young-adult,1320
453,299,literature,634
454,299,school,297
455,299,adventure,2632
456,299,children,3388
457,299,classics,15303
458,299,fantasy,555
459,299,fiction,4861
460,299,history,1319
461,299,novel,653
462,302,children,62
463,302,school,6
464,302,young-adult,10
465,302,novel,5
466,302,literature,6
467,302,history,7
469,302,classics,51
470,302,adventure,18
471,302,fiction,31
472,330,fantasy,8
474,330,fiction,30
475,330,adventure,2
476,330,children,404
477,330,classics,16
478,330,comedy,14
479,330,poetry,22
480,330,school,4
481,337,other,0
482,348,novel,24
483,348,science-fiction,2087
485,348,science,27
486,348,young-adult,9
487,348,fiction,321
488,348,adventure,25
489,348,classics,60
490,348,culture,12
491,348,fantasy,48
492,348,literature,7
493,350,classics,1552
494,350,literature,104
495,350,religion,135
496,350,science,119
497,350,science-fiction,13499
498,350,philosophy,159
499,350,fantasy,514
500,350,novel,288
501,350,fiction,3019
502,350,adult,74
504,354,other,0
505,355,romance,5
507,355,religion,37
